================================================================================
Question #1 (ID: 743636)
--------------------------------------------------------------------------------
Type: কবিতা | Book: আমার বাংলা বই | Years:  | Boards:  | Tags: 
--------------------------------------------------------------------------------
Question:
কবি ও কবিতার নামসহ 'পালকির গান' কবিতার প্রথম ৮ লাইন লেখ:

Solution:
পালকির গান
সত্যেন্দ্রনাথ দত্ত
পালকি চলে!
পালকি চলে!
গগন তলে
আগুন জ্বলে!
স্তব্ধ গাঁয়ে
আদুল গায়ে
যাচ্ছে কারা
রৌদ্রে সারা!

